"{'#ARI3', '@PHI3'}","{'@PIT3', '#CWS3'}","{'#BOS3', '@NYM3'}","{'@LAD3', '#SEA3'}","{'#TB3', '@HOU3'}","{'@NYY4', '#TOR4'}","{'#WAS3', '@LAA3'}","{'@OAK3', '#STL3'}","{'@CHC3', '#ATL3'}","{'@COL4', '#MIL4'}","{'@CLE2', '#CIN2'}","{'@KC4', '#MIN4'}","{'#SD3', '@BAL3'}","{'#SF3', '@MIA3'}","{'#TEX3', '@DET3'}"
"{'#DET4', '@CLE4'}","{'#SD3', '@PHI3'}","{'@TEX3', '#STL3'}","{'#WAS4', '@MIA4'}","{'#PIT3', '@BAL3'}","{'@KC3', '#LAA3'}","{'@OAK3', '#CWS3'}","{'@NYY3', '#COL3'}","{'#CIN4', '@MIL4'}","{'@TOR4', '#TB4'}","{'@ARI4', '#SF4'}","{'@LAD3', '#CHC3'}","{'#MIN3', '@BOS3'}","{'#HOU3', '@NYM3'}","{'@SEA3', '#ATL3'}"
"{'@OAK4', '#SEA4'}","{'@BAL4', '#NYY4'}","{'#HOU3', '@ATL3'}","{'@STL4', '#PIT4'}","{'#MIA3', '@SF3'}","{'@KC3', '#SD3'}","{'#CIN3', '@TOR3'}","{'@COL3', '#MIN3'}","{'#LAD4', '@ARI4'}","{'#WAS3', '@CLE3'}","{'@TEX3', '#TB3'}","{'@CHC3', '#LAA3'}","{'@DET4', '#CWS4'}","{'#NYM3', '@MIL3'}","{'@BOS3', '#PHI3'}"
"{'@WAS2', '#BAL2'}","{'#LAA4', '@SEA4'}","{'#PHI4', '@NYM4'}","{'#NYY3', '@TOR3'}","{'#HOU3', '@DET3'}","{'#CLE4', '@KC4'}","{'#OAK4', '@BOS4'}","{'@LAD3', '#MIA3'}","{'@ATL3', '#CWS3'}","{'#TEX4', '@TB4'}","{'@MIL2', '#MIN2'}","{'#CIN3', '@COL3'}","{'#SF3', '@CHC3'}","{'@PIT3', '#SD3'}","{'@STL4', '#ARI4'}"
"{'@SD3', '#MIN3'}","{'@SF4', '#ATL4'}","{'#LAD3', '@STL3'}","{'@TEX4', '#CWS4'}","{'@NYY3', '#PIT3'}","{'@PHI4', '#MIA4'}","{'@DET3', '#CLE3'}","{'@KC3', '#BOS3'}","{'#MIL3', '@ARI3'}","{'#WAS3', '@CIN3'}","{'@LAA3', '#TB3'}","{'#TOR4', '@BAL4'}","{'#COL3', '@SEA3'}","{'#CHC3', '@HOU3'}","{'#OAK3', '@NYM3'}"
"{'#CIN3', '@LAD3'}","{'@MIA3', '#PHI3'}","{'@TB4', '#BAL4'}","{'@NYM4', '#ATL4'}","{'@PIT4', '#CHC4'}","{'@ARI3', '#LAA3'}","{'@TEX3', '#NYY3'}","{'#BOS3', '@SEA3'}","{'#CWS3', '@HOU3'}","{'@TOR3', '#MIN3'}","{'#OAK3', '@WAS3'}","{'#DET3', '@CLE3'}","{'@MIL3', '#KC3'}","{'@COL4', '#SD4'}","{'#SF3', '@STL3'}"
"{'@TOR3', '#BAL3'}","{'#PIT4', '@NYM4'}","{'@ARI3', '#PHI3'}","{'#DET3', '@CWS3'}","{'#WAS3', '@KC3'}","{'#MIL3', '@HOU3'}","{'@ATL4', '#MIA4'}","{'@TEX4', '#OAK4'}","{'@TB4', '#MIN4'}","{'@NYY4', '#SEA4'}","{'#LAD3', '@BOS3'}","{'#LAA3', '@SF3'}","{'@CLE3', '#COL3'}","{'@SD4', '#STL4'}","{'@CIN4', '#CHC4'}"
"{'#SD3', '@WAS3'}","{'#HOU2', '@COL2'}","{'@CHC3', '#PIT3'}","{'@CLE3', '#ATL3'}","{'#TEX3', '@BAL3'}","{'#DET4', '@MIN4'}","{'#OAK4', '@LAA4'}","{'@TB2', '#MIA2'}","{'@TOR4', '#CWS4'}","{'#SEA3', '@PHI3'}","{'#SF3', '@CIN3'}","{'#NYY3', '@ARI3'}","{'#STL3', '@BOS3'}","{'#NYM3', '@KC3'}","{'#MIL3', '@LAD3'}"
"{'#LAA3', '@BOS3'}","{'#SF3', '@MIN3'}","{'@TEX3', '#MIA3'}","{'#CWS3', '@NYM3'}","{'@MIL3', '#COL3'}","{'@WAS4', '#ARI4'}","{'@ATL3', '#PIT3'}","{'@LAD3', '#TOR3'}","{'@TB4', '#NYY4'}","{'@OAK3', '#BAL3'}","{'@HOU4', '#SEA4'}","{'#STL2', '@KC2'}","{'#CHC3', '@DET3'}","{'@SD3', '#CIN3'}","{'@PHI3', '#CLE3'}"
"{'@SD3', '#HOU3'}","{'#SEA3', '@BAL3'}","{'#NYY3', '@CHC3'}","{'#KC2', '@STL2'}","{'@CLE4', '#MIN4'}","{'@CIN3', '#ARI3'}","{'#BOS3', '@WAS3'}","{'#TEX3', '@NYM3'}","{'#LAD3', '@PHI3'}","{'#DET3', '@TOR3'}","{'@ATL3', '#TB3'}","{'@OAK3', '#MIA3'}","{'#MIL3', '@SF3'}","{'@LAA3', '#CWS3'}","{'@COL3', '#PIT3'}"
"{'@SD3', '#MIL3'}","{'#TOR3', '@BAL3'}","{'@LAD4', '#COL4'}","{'@OAK3', '#PHI3'}","{'@LAA4', '#TEX4'}","{'@MIN4', '#HOU4'}","{'@TB3', '#ARI3'}","{'#STL3', '@PIT3'}","{'@ATL3', '#CHC3'}","{'#DET3', '@WAS3'}","{'#CLE4', '@CWS4'}","{'#NYY3', '@SEA3'}","{'#SF3', '@BOS3'}","{'#KC3', '@MIA3'}","{'#CIN3', '@NYM3'}"
"{'@COL3', '#ATL3'}","{'@CLE3', '#PIT3'}","{'#TEX3', '@CWS3'}","{'#TB3', '@NYM3'}","{'@ARI3', '#CHC3'}","{'#DET3', '@CIN3'}","{'@PHI4', '#WAS4'}","{'#SD3', '@STL3'}","{'#KC3', '@SF3'}","{'#BAL3', '@SEA3'}","{'@OAK3', '#LAD3'}","{'@NYY4', '#BOS4'}","{'@MIL3', '#MIA3'}","{'#LAA4', '@HOU4'}","{'#TOR3', '@MIN3'}"
"{'@OAK4', '#HOU4'}","{'#LAD3', '@MIN3'}","{'#TOR3', '@CWS3'}","{'#NYM3', '@PHI3'}","{'#SEA3', '@LAA3'}","{'@CIN3', '#TEX3'}","{'#MIL4', '@PIT4'}","{'@CHC3', '#SD3'}","{'@CLE3', '#KC3'}","{'#WAS3', '@SF3'}","{'@MIA3', '#ATL3'}","{'@COL3', '#STL3'}","{'#ARI3', '@BOS3'}","{'#DET3', '@BAL3'}","{'@NYY3', '#TB3'}"
"{'@TB3', '#CLE3'}","{'@LAD3', '#ARI3'}","{'#KC3', '@SEA3'}","{'@MIL3', '#PIT3'}","{'@TOR2', '#PHI2'}","{'#HOU3', '@NYY3'}","{'@OAK3', '#LAA3'}","{'@MIN4', '#CWS4'}","{'@BOS4', '#BAL4'}","{'#COL3', '@MIA3'}","{'@STL4', '#ATL4'}","{'@WAS4', '#CHC4'}","{'@SD3', '#TEX3'}","{'@CIN4', '#NYM4'}","{'#SF3', '@DET3'}"
"{'@CIN3', '#COL3'}","{'#DET2', '@PIT2'}","{'#TOR3', '@NYY3'}","{'#TEX4', '@SEA4'}","{'#NYM3', '@STL3'}","{'@CLE3', '#BAL3'}","{'@MIN3', '#MIA3'}","{'#OAK3', '@HOU3'}","{'@SD3', '#CHC3'}","{'#LAA4', '@CWS4'}","{'#WAS3', '@LAD3'}","{'@BOS4', '#TB4'}","{'@KC3', '#ATL3'}","{'#ARI3', '@SF3'}","{'#MIL3', '@PHI3'}"
"{'#NYM3', '@CLE3'}","{'#HOU3', '@CIN3'}","{'@NYY3', '#LAA3'}","{'@ARI3', '#LAD3'}","{'#OAK3', '@DET3'}","{'#MIN3', '@BAL3'}","{'#TOR4', '@SEA4'}","{'@PHI3', '#KC3'}","{'#MIL3', '@TEX3'}","{'@PIT4', '#WAS4'}","{'@COL3', '#TB3'}","{'#STL3', '@ATL3'}","{'#SD4', '@SF4'}","{'@CHC2', '#CWS2'}","{'@BOS3', '#MIA3'}"
"{'#COL3', '@PIT3'}","{'@NYY3', '#CWS3'}","{'@LAD3', '#STL3'}","{'#TOR3', '@LAA3'}","{'@CHC3', '#KC3'}","{'@TB3', '#PHI3'}","{'@SD4', '#ARI4'}","{'@OAK3', '#DET3'}","{'@WAS3', '#MIN3'}","{'@MIL3', '#CLE3'}","{'#CIN4', '@ATL4'}","{'#NYM4', '@MIA4'}","{'@TEX3', '#SEA3'}","{'#BOS3', '@BAL3'}","{'#SF3', '@HOU3'}"
"{'#ARI3', '@NYM3'}","{'#HOU3', '@LAA3'}","{'#PHI4', '@ATL4'}","{'#MIL3', '@TB3'}","{'@TOR3', '#CLE3'}","{'#LAD4', '@MIA4'}","{'@SD3', '#DET3'}","{'@STL4', '#CIN4'}","{'#NYY3', '@SF3'}","{'@TEX4', '#BAL4'}","{'#PIT3', '@SEA3'}","{'@MIN3', '#KC3'}","{'@WAS3', '#CWS3'}","{'#COL4', '@CHC4'}","{'@OAK3', '#BOS3'}"
"{'#NYY3', '@BOS3'}","{'#BAL3', '@SF3'}","{'#MIN3', '@DET3'}","{'#CIN3', '@CHC3'}","{'#PIT4', '@LAD4'}","{'@ATL3', '#ARI3'}","{'@CLE3', '#TOR3'}","{'@OAK3', '#TEX3'}","{'#HOU3', '@WAS3'}","{'@MIA2', '#TB2'}","{'#CWS3', '@SEA3'}","{'@MIL4', '#STL4'}","{'@LAA3', '#SD3'}","{'#NYM3', '@PHI3'}","{'@KC3', '#COL3'}"
"{'@TOR3', '#KC3'}","{'@TB3', '#BOS3'}","{'#CLE3', '@SEA3'}","{'@HOU2', '#COL2'}","{'@WAS4', '#ATL4'}","{'#DET3', '@CWS3'}","{'@LAD2', '#LAA2'}","{'#STL3', '@MIA3'}","{'@MIN4', '#BAL4'}","{'@ARI3', '#SD3'}","{'#NYY3', '@MIL3'}","{'@SF4', '#CHC4'}","{'@PIT3', '#TEX3'}","{'#OAK3', '@CIN3'}","{'#PHI3', '@NYM3'}"
"{'@TEX2', '#ARI2'}","{'#CWS3', '@BAL3'}","{'#SEA3', '@STL3'}","{'#PHI3', '@SF3'}","{'@KC3', '#TB3'}","{'@NYY3', '#MIN3'}","{'@HOU3', '#MIA3'}","{'#MIL3', '@DET3'}","{'@OAK3', '#CLE3'}","{'@SD3', '#PIT3'}","{'#CHC3', '@NYM3'}","{'@ATL3', '#LAD3'}","{'@COL3', '#BOS3'}","{'#CIN3', '@LAA3'}","{'#WAS3', '@TOR3'}"
"{'#NYY3', '@STL3'}","{'@ATL3', '#SD3'}","{'@MIN3', '#LAA3'}","{'#HOU3', '@KC3'}","{'#TEX3', '@WAS3'}","{'@PHI4', '#SF4'}","{'#OAK3', '@SEA3'}","{'@COL3', '#LAD3'}","{'#MIL4', '@MIA4'}","{'#NYM3', '@PIT3'}","{'@ARI3', '#CLE3'}","{'#DET3', '@TB3'}","{'#BOS4', '@TOR4'}","{'#CIN3', '@CHC3'}","{'#BAL3', '@CWS3'}"
"{'#NYY3', '@LAD3'}","{'@SF4', '#COL4'}","{'#STL3', '@ARI3'}","{'@SD3', '#NYM3'}","{'#KC4', '@CWS4'}","{'#CHC3', '@BOS3'}","{'@WAS3', '#MIA3'}","{'#OAK3', '@BAL3'}","{'@SEA4', '#MIN4'}","{'@PHI3', '#ATL3'}","{'@CLE3', '#TB3'}","{'@MIL3', '#LAA3'}","{'#PIT4', '@CIN4'}","{'#TOR3', '@DET3'}","{'@TEX4', '#HOU4'}"
"{'#TEX3', '@HOU3'}","{'@COL3', '#LAD3'}","{'#OAK3', '@MIN3'}","{'#DET3', '@ATL3'}","{'@CWS3', '#MIA3'}","{'@CIN3', '#BOS3'}","{'#ARI3', '@PIT3'}","{'#TOR3', '@TB3'}","{'#MIL4', '@CHC4'}","{'#WAS2', '@BAL2'}","{'@LAA3', '#CLE3'}","{'#SEA3', '@SF3'}","{'@PHI4', '#STL4'}","{'#NYY3', '@KC3'}","{'#SD4', '@NYM4'}"
"{'@NYY4', '#KC4'}","{'@COL3', '#CWS3'}","{'@TEX3', '#MIN3'}","{'#CIN3', '@BAL3'}","{'@SD3', '#PHI3'}","{'@DET4', '#SEA4'}","{'#BOS4', '@HOU4'}","{'@TB3', '#CHC3'}","{'#OAK2', '@SF2'}","{'#WAS3', '@ATL3'}","{'@MIL3', '#PIT3'}","{'#STL3', '@NYM3'}","{'@LAD3', '#CLE3'}","{'#TOR3', '@ARI3'}","{'#LAA3', '@MIA3'}"
"{'@MIN3', '#KC3'}","{'#LAA3', '@SEA3'}","{'#NYY3', '@PHI3'}","{'@OAK3', '#CHC3'}","{'#BOS4', '@CWS4'}","{'@CLE3', '#SD3'}","{'@PIT4', '#SF4'}","{'#LAD4', '@CIN4'}","{'@COL4', '#ARI4'}","{'#NYM4', '@WAS4'}","{'#TB3', '@BAL3'}","{'#TOR3', '@MIL3'}","{'@ATL3', '#MIA3'}","{'#DET3', '@TEX3'}","{'#STL3', '@HOU3'}"
"{'#NYM3', '@TOR3'}","{'#NYY3', '@BOS3'}","{'#TB3', '@SEA3'}","{'@BAL3', '#ATL3'}","{'@LAD3', '#ARI3'}","{'#PHI4', '@MIL4'}","{'@SD3', '#CWS3'}","{'@MIN3', '#CLE3'}","{'#WAS3', '@MIA3'}","{'#COL3', '@STL3'}","{'@PIT3', '#CHC3'}","{'#KC4', '@DET4'}","{'@TEX3', '#OAK3'}","{'#HOU3', '@LAA3'}","{'#CIN3', '@SF3'}"
"{'#NYM3', '@SF3'}","{'#LAD3', '@DET3'}","{'#OAK3', '@PIT3'}","{'#TOR3', '@MIA3'}","{'#HOU3', '@CWS3'}","{'@CLE3', '#LAA3'}","{'@KC3', '#BAL3'}","{'#WAS3', '@NYY3'}","{'#SEA3', '@ARI3'}","{'@CIN3', '#PHI3'}","{'#STL4', '@CHC4'}","{'#SD4', '@MIL4'}","{'@ATL4', '#COL4'}","{'@TB3', '#BOS3'}","{'#TEX3', '@MIN3'}"
"{'@COL3', '#MIA3'}","{'@ARI3', '#BAL3'}","{'#DET3', '@SEA3'}","{'@MIL3', '#CHC3'}","{'#SF3', '@CWS3'}","{'#STL3', '@CIN3'}","{'@KC3', '#PIT3'}","{'#BOS3', '@LAA3'}","{'@SD3', '#TB3'}","{'@ATL3', '#PHI3'}","{'@NYY3', '#TEX3'}","{'#LAD3', '@HOU3'}","{'#WAS3', '@NYM3'}","{'@MIN3', '#CLE3'}","{'@OAK3', '#TOR3'}"
"{'@OAK3', '#TEX3'}","{'@MIL3', '#ATL3'}","{'#SEA3', '@CHC3'}","{'#CIN4', '@ARI4'}","{'@SD3', '#SF3'}","{'#COL3', '@NYM3'}","{'@KC3', '#CWS3'}","{'@STL3', '#MIA3'}","{'@CLE3', '#MIN3'}","{'#NYY3', '@DET3'}","{'#LAD3', '@WAS3'}","{'@PHI3', '#BAL3'}","{'#TOR3', '@BOS3'}","{'@PIT3', '#TB3'}","{'#LAA3', '@HOU3'}"
"{'#SF3', '@COL3'}","{'@DET3', '#MIA3'}","{'#TEX3', '@HOU3'}","{'@ATL3', '#MIN3'}","{'#SEA3', '@BOS3'}","{'@TOR3', '#SD3'}","{'@KC3', '#CLE3'}","{'#NYM3', '@ARI3'}","{'#TB3', '@WAS3'}","{'@OAK3', '#NYY3'}","{'@BAL4', '#LAA4'}","{'#STL3', '@CIN3'}","{'#CHC3', '@PHI3'}","{'#LAD3', '@PIT3'}","{'#MIL3', '@CWS3'}"
"{'#NYM3', '@LAA3'}","{'@KC4', '#TEX4'}","{'@SD4', '#LAD4'}","{'#CLE3', '@SF3'}","{'#NYY3', '@MIA3'}","{'#BAL3', '@DET3'}","{'#WAS3', '@ARI3'}","{'@MIL3', '#CHC3'}","{'#OAK3', '@ATL3'}","{'@COL3', '#PHI3'}","{'@PIT3', '#MIN3'}","{'#HOU3', '@SEA3'}","{'#CIN3', '@STL3'}","{'#TB3', '@CWS3'}","{'@TOR3', '#BOS3'}"
"{'#WAS3', '@SEA3'}","{'#KC4', '@OAK4'}","{'@MIL3', '#ARI3'}","{'#SD3', '@SF3'}","{'@STL3', '#CLE3'}","{'@LAA4', '#NYY4'}","{'#HOU3', '@PIT3'}","{'@TEX3', '#BOS3'}","{'#CHC2', '@CWS2'}","{'@NYM3', '#MIA3'}","{'#COL3', '@BAL3'}","{'#CIN3', '@PHI3'}","{'@TOR3', '#ATL3'}","{'#DET3', '@MIN3'}","{'@TB3', '#LAD3'}"
"{'#COL3', '@WAS3'}","{'#SD2', '@SEA2'}","{'#STL3', '@SF3'}","{'#LAD3', '@NYM3'}","{'@OAK3', '#LAA3'}","{'@TEX3', '#TOR3'}","{'@CHC3', '#CLE3'}","{'@MIL3', '#BAL3'}","{'#ARI3', '@MIN3'}","{'@CIN3', '#CWS3'}","{'#TB3', '@BOS3'}","{'#KC3', '@HOU3'}","{'@NYY3', '#ATL3'}","{'@MIA3', '#PHI3'}","{'#PIT2', '@DET2'}"
"{'#DET4', '@BOS4'}","{'@LAD4', '#SF4'}","{'@TOR3', '#TEX3'}","{'#STL3', '@PIT3'}","{'#NYM3', '@MIA3'}","{'@PHI3', '#LAA3'}","{'@CIN3', '#ATL3'}","{'@NYY3', '#SD3'}","{'#WAS3', '@MIL3'}","{'@CLE3', '#CWS3'}","{'#OAK3', '@SEA3'}","{'@KC3', '#MIN3'}","{'@CHC3', '#BAL3'}","{'@ARI3', '#COL3'}","{'#HOU3', '@TB3'}"
"{'#LAA3', '@STL3'}","{'@BOS3', '#CLE3'}","{'#MIN3', '@HOU3'}","{'@KC3', '#CWS3'}","{'#ARI3', '@MIA3'}","{'#NYY3', '@TB3'}","{'#CIN3', '@SEA3'}","{'#NYM3', '@BAL3'}","{'@DET3', '#PHI3'}","{'#MIL3', '@PIT3'}","{'@LAD3', '#ATL3'}","{'@COL3', '#CHC3'}","{'@SD4', '#WAS4'}","{'#SF3', '@TEX3'}","{'#OAK3', '@TOR3'}"
"{'#MIL2', '@MIN2'}","{'@TOR3', '#SEA3'}","{'@CLE3', '#CWS3'}","{'#COL3', '@LAA3'}","{'#NYM3', '@ATL3'}","{'#CIN3', '@PIT3'}","{'@TB3', '#BAL3'}","{'@ARI3', '#KC3'}","{'#DET3', '@HOU3'}","{'@SD3', '#BOS3'}","{'#OAK3', '@NYY3'}","{'@PHI3', '#MIA3'}","{'@TEX3', '#LAD3'}","{'#CHC3', '@STL3'}","{'#SF3', '@WAS3'}"
"{'@LAA3', '#MIN3'}","{'#TOR3', '@TB3'}","{'#MIL3', '@BOS3'}","{'@DET3', '#CLE3'}","{'#WAS3', '@ATL3'}","{'@TEX3', '#KC3'}","{'@STL3', '#BAL3'}","{'@OAK2', '#SF2'}","{'#PHI4', '@LAD4'}","{'#NYM3', '@CHC3'}","{'#NYY3', '@HOU3'}","{'@PIT3', '#MIA3'}","{'@CIN3', '#SD3'}","{'#SEA3', '@CWS3'}","{'@COL3', '#ARI3'}"
"{'@STL3', '#PHI3'}","{'@MIA3', '#CLE3'}","{'#KC3', '@BOS3'}","{'@SD3', '#ATL3'}","{'#CWS3', '@DET3'}","{'#CIN3', '@PIT3'}","{'@NYY3', '#BAL3'}","{'@LAA2', '#LAD2'}","{'#COL3', '@SF3'}","{'#TB3', '@MIN3'}","{'#TEX3', '@SEA3'}","{'#MIL3', '@OAK3'}","{'@CHC3', '#ARI3'}","{'#TOR3', '@HOU3'}","{'#WAS3', '@NYM3'}"
"{'@MIA3', '#ATL3'}","{'@SD3', '#OAK3'}","{'#MIL3', '@NYM3'}","{'#SEA3', '@HOU3'}","{'#CWS3', '@BOS3'}","{'#LAD3', '@SF3'}","{'#KC3', '@BAL3'}","{'#STL3', '@DET3'}","{'@TOR3', '#COL3'}","{'#TEX2', '@ARI2'}","{'@PIT3', '#PHI3'}","{'#NYY4', '@CLE4'}","{'@TB3', '#LAA3'}","{'#CIN3', '@WAS3'}","{'#CHC3', '@MIN3'}"
"{'@CHC3', '#PHI3'}","{'#SEA3', '@MIA3'}","{'#NYY3', '@CWS3'}","{'#WAS3', '@COL3'}","{'@TOR3', '#TB3'}","{'@SD3', '#SF3'}","{'#STL3', '@MIN3'}","{'#CLE4', '@HOU4'}","{'#DET3', '@KC3'}","{'#NYM3', '@LAD3'}","{'@OAK3', '#ARI3'}","{'#TEX3', '@BOS3'}","{'#MIL3', '@ATL3'}","{'@CIN3', '#PIT3'}","{'@LAA3', '#BAL3'}"
"{'#TOR3', '@SF3'}","{'#OAK3', '@LAA3'}","{'#BOS3', '@BAL3'}","{'@LAD3', '#COL3'}","{'@CIN3', '#MIA3'}","{'@TB3', '#CWS3'}","{'@ARI3', '#SD3'}","{'#NYY2', '@NYM2'}","{'@CLE3', '#KC3'}","{'@TEX3', '#HOU3'}","{'@WAS3', '#PHI3'}","{'@MIL3', '#SEA3'}","{'#STL3', '@CHC3'}","{'#MIN3', '@DET3'}","{'@PIT3', '#ATL3'}"
"{'#ARI3', '@DET3'}","{'@LAD3', '#SD3'}","{'@LAA3', '#ATL3'}","{'#KC3', '@CWS3'}","{'#MIN3', '@NYM3'}","{'#CLE4', '@BAL4'}","{'#OAK3', '@TB3'}","{'#SF3', '@COL3'}","{'@CHC3', '#PIT3'}","{'#TOR2', '@PHI2'}","{'#MIL3', '@STL3'}","{'@WAS3', '#MIA3'}","{'@TEX3', '#SEA3'}","{'#CIN3', '@NYY3'}","{'#HOU3', '@BOS3'}"
"{'@WAS3', '#ATL3'}","{'@TEX3', '#LAA3'}","{'#OAK4', '@CLE4'}","{'#CHC3', '@MIA3'}","{'#HOU3', '@BAL3'}","{'#LAD3', '@MIL3'}","{'@STL3', '#PIT3'}","{'#BOS3', '@MIN3'}","{'#CIN3', '@KC3'}","{'#NYY3', '@TOR3'}","{'#PHI3', '@CWS3'}","{'#ARI3', '@SF3'}","{'@SD3', '#COL3'}","{'@TB3', '#SEA3'}","{'#DET3', '@NYM3'}"
"{'@SD3', '#MIA3'}","{'@WAS3', '#PIT3'}","{'#OAK3', '@CWS3'}","{'@PHI3', '#ATL3'}","{'#SF3', '@TB3'}","{'#SEA3', '@MIN3'}","{'@CLE3', '#BOS3'}","{'@TOR4', '#HOU4'}","{'#STL3', '@MIL3'}","{'@CIN3', '#CHC3'}","{'#DET3', '@KC3'}","{'@ARI3', '#COL3'}","{'@LAD3', '#BAL3'}","{'@NYY2', '#NYM2'}","{'@LAA3', '#TEX3'}"
"{'@SD3', '#ARI3'}","{'#MIA3', '@NYM3'}","{'#STL3', '@WAS3'}","{'@NYY3', '#BAL3'}","{'@TEX3', '#LAA3'}","{'#HOU3', '@CLE3'}","{'@ATL2', '#BOS2'}","{'#MIL3', '@CHC3'}","{'#KC3', '@DET3'}","{'#COL3', '@PHI3'}","{'#MIN3', '@CWS3'}","{'@OAK3', '#SEA3'}","{'@CIN3', '#TB3'}","{'#SF3', '@LAD3'}","{'@TOR3', '#PIT3'}"
"{'@ARI3', '#ATL3'}","{'@KC3', '#SEA3'}","{'#CLE2', '@CIN2'}","{'#SF3', '@NYM3'}","{'#STL3', '@TB3'}","{'@MIN3', '#PHI3'}","{'@COL3', '#SD3'}","{'@TEX3', '#CHC3'}","{'#TOR3', '@BOS3'}","{'#LAD3', '@CWS3'}","{'#OAK3', '@HOU3'}","{'#MIL3', '@WAS3'}","{'#LAA3', '@DET3'}","{'#NYY3', '@BAL3'}","{'@MIA3', '#PIT3'}"
"{'#DET4', '@LAA4'}","{'#CHC3', '@STL3'}","{'#OAK3', '@KC3'}","{'@COL4', '#NYM4'}","{'#ARI3', '@HOU3'}","{'@TOR3', '#BAL3'}","{'#MIL3', '@CIN3'}","{'#WAS3', '@PHI3'}","{'#MIN3', '@CWS3'}","{'#BOS3', '@PIT3'}","{'#LAD3', '@SF3'}","{'@NYY3', '#TB3'}","{'@ATL3', '#TEX3'}","{'#SD3', '@MIA3'}","{'@CLE3', '#SEA3'}"
"{'#WAS3', '@CHC3'}","{'#NYM3', '@ATL3'}","{'@CLE3', '#TEX3'}","{'@TOR3', '#LAA3'}","{'@LAD3', '#SD3'}","{'#STL3', '@CWS3'}","{'#BOS3', '@NYY3'}","{'#HOU3', '@SEA3'}","{'#CIN3', '@MIL3'}","{'@TB3', '#KC3'}","{'#BAL3', '@MIA3'}","{'#DET3', '@COL3'}","{'@OAK3', '#MIN3'}","{'@PHI3', '#PIT3'}","{'#SF3', '@ARI3'}"
"{'#WAS3', '@STL3'}","{'@LAD3', '#KC3'}","{'#SF3', '@MIL3'}","{'#TOR3', '@CHC3'}","{'@TEX3', '#PHI3'}","{'@DET4', '#TB4'}","{'@OAK3', '#HOU3'}","{'@SD3', '#COL3'}","{'@NYM3', '#ATL3'}","{'#BAL3', '@BOS3'}","{'#NYY3', '@MIN3'}","{'#SEA3', '@LAA3'}","{'#CLE3', '@CWS3'}","{'@ARI3', '#PIT3'}","{'#CIN3', '@MIA3'}"
"{'@LAA3', '#PIT3'}","{'#ARI3', '@CWS3'}","{'@WAS3', '#PHI3'}","{'#NYM3', '@SEA3'}","{'@COL3', '#TEX3'}","{'#TOR4', '@KC4'}","{'#MIA4', '@CHC4'}","{'@SD3', '#LAD3'}","{'@NYY3', '#CLE3'}","{'@CIN3', '#MIN3'}","{'#MIL3', '@STL3'}","{'#BOS3', '@DET3'}","{'@OAK4', '#TB4'}","{'@HOU3', '#BAL3'}","{'#SF3', '@ATL3'}"
"{'#MIL3', '@CIN3'}","{'@HOU3', '#PHI3'}","{'@LAA3', '#KC3'}","{'#LAD3', '@CHC3'}","{'#TB3', '@BAL3'}","{'@MIN3', '#CWS3'}","{'#MIA4', '@ARI4'}","{'#OAK3', '@COL3'}","{'@BOS2', '#ATL2'}","{'@SD2', '#SEA2'}","{'#PIT3', '@SF3'}","{'#DET3', '@NYY3'}","{'#NYM3', '@WAS3'}","{'@TEX3', '#CLE3'}","{'#TOR3', '@STL3'}"
